name,city,swift_code
"3E CONCEPT S.A.S.","HALLENNES-LEZ-HAUBOURDIN","CNEPFR22"
"A3M (ASSOCIATION DE MOYENS MALAKOFF MEDERIC)","PARIS","MAMEFRPP"
"ABC INTERNATIONAL BANK PARIS BRANCH","PARIS","ABCOFRPP"
"ABE CLEARING SAS/EBA CLEARING","PARIS","EBAPFRPP"
"ABE CLEARING SAS/EBA CLEARING","PARIS","EBAPFRPPCOL"
"ABE CLEARING SAS/EBA CLEARING","PARIS","EBAPFRPPINT"
"ABE CLEARING SAS/EBA CLEARING","PARIS","EBAPFRPPPSA"
"ABE CLEARING SAS/EBA CLEARING (SYSTEM OPERATOR)","PARIS","EBAPFRPS"
"ACCOR","ISSY LES MOULINEAUX","GRACFRP2"
"ADECCO GROUPE FRANCE","VILLEURBANNE","ADECFR22"
"ADISSEO FRANCE","ANTONY","ADSSFR22"
"AFONE PAIEMENT","ANGERS","AFPMFR22"
"AGAPES","VILLENEUVE D'ASCQ","AGAPFR22"
"AGENCE FRANCAISE DE DEVELOPPEMENT","PARIS","AGFDFRPA"
"AGENCE FRANCE TRESOR (AFT)","PARIS","AFTRFRPP"
"AGENCE FRANCE TRESOR (AFT)","PARIS","AFTRFRPPCDP"
"AGRIAL FINANCES","CAEN","AGFIFR22"
"AIR FRANCE - KLM SA","ROISSY EN FRANCE","AIRFFRPP"
"AIR LIQUIDE SA","PARIS","RLIQFRPP"
"AIRBUS SAS","BLAGNAC","AIRBFR22"
"AKKA TECHNOLOGIES","PARIS","AKKAFRPP"
"AKUO ENERGY SAS","PARIS","AKUOFRPP"
"AL KHALIJI FRANCE S.A.","PARIS","LICOFRPP"
"ALAIN AFFLELOU FRANCHISEUR","PARIS","AAGPFR2A"
"ALBEA SERVICES S.A.S.","GENNEVILLIERS","ABVAFRPP"
"ALCATEL SUBMARINE NETWORKS","NOZAY","ALSNFRPP"
"ALCATEL-LUCENT","BOULOGNE BILLANCOURT","ATELFRPP"
"ALDES AERAULIQUE","VENISSIEUX","ALDEFR2V"
"ALE INTERNATIONAL","COLOMBES","AALEFR22"
"ALLIANCE AUTOMOTIVE FRANCE S.A.S.","LEVALLOIS PERRET","ALAFFRPP"
"ALLIANZ BANQUE","PARIS","AGFBFRCC"
"ALLIANZ BANQUE","PUTEAUX","AGFBFRPP"
"ALLIANZ IARD","PARIS","ALLZFRPP"
"ALSTOM HOLDINGS","SAINT-OUEN-SUR-SEINE","ALHOFRPP"
"ALSYON TECHNOLOGIES","PARIS","ALSYFRPP"
"ALTAVIA","PARIS","FALTFRPP"
"ALTEN SA","BOULOGNE BILLANCOURT","ALTNFRPP"
"ALTRAD INVESTMENT AUTHORITY","FLORENSAC","ALRAFR22"
"ALTRAN TECHNOLOGIES","NEUILLY SUR SEINE","GMTSFRPP"
"ALVEST","PARIS","ALVTFRPP"
"AMUNDI","PARIS","AGRIFRPI"
"APICIL GESTION","CALUIRE ET CUIRE","APIGFR22"
"APICIL GESTION","LYON","APIGFR22TPS"
"APICIL GESTION","PARIS","APIGFR22GBQ"
"APICIL GESTION","PARIS","APIGFR22SKL"
"APICIL GESTION","PARIS","APIGFR22GSA"
"APICIL GESTION","PARIS","APIGFR22INT"
